project,loc,intialcommitdate,recentdate,activedevs,totaldevs,yearcount,age,bugcount,vulnerabilities,bd,vulns,cocomo
abiword,497358,7/16/1998,4/23/2016,3,90,19,17,2604,0,1,0,1696.065312
acpi,14002574,4/16/2005,11/15/2015,3951,17357,19,11,38,0,1,0,56423.2735
acpid,15491,12/2/2011,6/20/2013,3,8,5,4,9,0,1,0,44.41436275
alsa-lib,84304,8/13/1998,4/14/2016,25,143,19,17,180,0,1,0,263.0756178
apt,83757,3/23/2005,3/27/2016,31,150,14,11,552,0,1,0,261.283616
bash,179572,8/26/1996,8/13/2015,1,3,17,19,276,1,1,1,581.9565483
bind,629796,8/17/1998,4/16/2016,11,29,19,17,,13,0,1,2173.201027
binutils,2934173,5/3/1999,11/12/2013,0,222,15,16,16,0,1,0,10934.52724
bsdutils,126615,10/31/1992,4/22/2016,82,482,25,23,12,0,1,0,403.2268341
bzip2,11562,12/21/2013,12/21/2013,0,1,1,2,18,0,1,0,32.66815609
chromium,7331512,7/26/2008,7/23/2014,0,2270,7,7,51190,156,1,1,28601.79147
coreutils,85365,10/31/1992,4/21/2016,26,203,25,23,258,0,1,0,266.5531662
cpio,7268,9/28/1994,9/12/2015,1,6,15,21,36,1,1,1,20.06437671
cups,200636,1/13/2006,4/21/2016,1,9,11,10,41,4,1,1,653.836728
dhcp,118200,11/29/1995,4/4/2016,6,16,20,20,,4,0,1,375.1356681
dictionaries-common,7335,10/19/1999,8/31/2015,1,9,16,16,1,0,1,0,20.2586328
dpkg,63591,4/4/1996,4/21/2016,28,242,19,20,303,3,1,1,195.6615303
e2fsprogs,144111,4/26/1997,4/17/2016,20,164,20,18,45,2,1,1,461.9255633
findutils,19502,2/4/1996,4/17/2016,12,40,20,20,64,0,1,0,56.56178653
firefox,12834603,3/28/1998,4/23/2016,1353,5136,19,18,2092,166,1,1,51492.21457
freetype,166016,10/2/2012,12/30/2015,1,4,4,3,51,0,1,0,535.9168988
gcc,7231604,11/23/1988,4/23/2016,192,566,29,27,9794,1,1,1,28192.68097
gettext,359647,6/16/2000,3/26/2016,15,56,17,15,50,0,1,0,1206.730453
