project,loc,intialcommitdate,recentdate,activedevs,totaldevs,yearcount,totaluniquedevs,bugcount,vulerabilities in the last 10 versions,cocomo
abiword,516962,7/16/1998,4/14/2016,3,91,19,765,2604,0,2395205.574
Bind,445793,5/19/2014,4/20/2015,2,9,2,11,,59,2050223.224
cups,264,7/8/2011,3/28/2013,0.001,1,2,2,41,0,837.3275195
dhcp,118326,11/29/1995,4/4/2016,5,20,20,277,,14,509266.8817
e2fsprogs,144095,4/26/1997,3/22/2016,19,80,20,1315,,2,626314.6908
Firefox,13062600,3/28/1998,4/14/2016,875,3406,19,44669,2092,68,71128287.28
freetype,202849,10/2/2012,12/30/2015,0.001,4,4,10,51,0,896897.382
gcc,7240926,11/23/1988,4/14/2016,192,582,29,13033,9794,0,38282038.56
gimp,755948,1/1/1997,4/15/2016,63,340,20,5035,658,20,3569667.459
glibc,974708,2/18/1995,6/18/2012,0.001,144,18,2212,952,0,4661540.898
gnome-shell,85565,10/31/2008,4/14/2016,107,408,9,2364,1180,2,362344.9427
gnucash,395466,11/1/1997,4/7/2016,39,102,20,1621,672,0,1807906.018
gnumeric,452178,7/1/1998,4/1/2016,17,177,19,2122,251,0,2081067.38
grub,309892,12/27/2002,4/14/2016,37,163,15,1819,140,0,1399529.718
gtk,915057,11/24/1997,4/14/2016,162,645,20,9986,1711,0,4362463.404
inkscape,565047,8/20/2014,4/14/2016,2,3,3,4,4057,0,2629662.686
kdelibs,853044,4/13/1997,4/13/2016,30,693,20,8472,445,0,4052576.726
kmod,14669,11/21/2011,1/28/2012,0.001,15,2,25,,0,56876.35755
libgnome,6470,11/24/1997,3/14/2015,1,224,19,2587,14,0,24080.23586
libreoffice,5567553,1/27/2010,3/15/2016,257,1005,17,12457,33602,0,29050848.38
linux,14329735,4/16/2005,4/14/2016,2232,4529,20,64058,2619,111,78390116.29
mariadb,2223115,7/31/2000,4/7/2016,93,1253,17,10307,1949,243,11079528.2
mesa,6961,9/19/2014,3/31/2016,9,14,3,19,,0,26002.58096
mysql-server,2795860,7/31/2000,3/25/2016,174,1324,17,11488,4123,0,14094589.56
openbox,42216,4/11/2002,3/4/2015,2,84,14,805,,0,172568.7594
openjdk,73,1/2/2015,1/17/2015,2,2,1,2,1219,33,217.1202072
openssh,84504,10/27/1999,2/6/2011,0.001,16,13,145,238,103,357628.7064
openssl,434212,12/21/1998,4/14/2016,89,157,19,2114,67,63,1994335.199
perl5,907556,12/18/1987,4/14/2016,77,729,30,15366,897,5,4324922.66
php-src,1174876,4/7/1999,4/14/2016,172,475,18,6088,5346,0,5671564.502
postfix,235426,1/1/1999,3/27/2016,1,2,20,35,193,6,1048717.19
postgresql,69,4/29/2012,2/18/2016,6,7,5,24,,6,204.6457769
python,979021,8/9/1990,4/15/2016,49,159,27,3470,5454,1,4683201.558
samba,1697839,5/4/1996,4/13/2016,78,312,21,5098,108,12,8348386.983
systemd,332526,4/26/2005,4/15/2016,214,568,14,5490,338,2,1507051.627
thunderbird,87,3/6/2012,3/6/2012,0.001,1,1,1,781,0,261.0396371
vim,516260,6/13/2004,4/14/2016,1,1,13,13,211,5,2391790.533
xine-lib,369159,8/25/2011,8/4/2012,0.1,3,2,6,105,0,1681842.704
xorg-server,419214,11/19/1999,12/28/2015,79,360,17,4702,1849,0,1922068.266
bash,181579,8/26/1996,8/13/2015,1,2,17,29,,6,798417.6752
lxde-common,416,2/23/2008,2/21/2016,3,30,8,135,22,0,1349.768345
